"x","full_y","value","y","full_x"
"NCH Capital","Аргарна партія",1.04,"АПУ", "NCH Capital"
"А.Веревський","Аргарна партія",7.45,"АПУ","Андрій Веревський"
"В.Іванчик","Аргарна партія",33.76,"АПУ","Віктор Іванчик"
"К.Іаковідес","Аргарна партія",-1.62,"АПУ","Крістакіс Іаковідес"
"М.Фрідман","Аргарна партія",-2.07,"АПУ","Михайло Фрідман"
"О.Бахматюк","Аргарна партія",2.64,"АПУ","Олег Бахматюк"
"П.Порошенко","Аргарна партія",6.54,"АПУ","Петро Порошенко"
"Р.Ахметов","Аргарна партія",-4.21,"АПУ","Рінат Ахметов"
"С.Тігіпко","Аргарна партія",-0.18,"АПУ","Сергій Тігіпко"
"Ю.Косюк","Аргарна партія",3.2,"АПУ","Юрій Косюк"
"NCH Capital","Блок Петра Порошенка",5.37,"БПП","NCH Capital"
"А.Веревський","Блок Петра Порошенка",3.34,"БПП","Андрій Веревський"
"В.Іванчик","Блок Петра Порошенка",1.66,"БПП","Віктор Іванчик"
"К.Іаковідес","Блок Петра Порошенка",-1.26,"БПП","Крістакіс Іаковідес"
"М.Фрідман","Блок Петра Порошенка",0.84,"БПП","Михайло Фрідман"
"О.Бахматюк","Блок Петра Порошенка",6.62,"БПП","Олег Бахматюк"
"П.Порошенко","Блок Петра Порошенка",7.77,"БПП","Петро Порошенко"
"Р.Ахметов","Блок Петра Порошенка",-13.68,"БПП","Рінат Ахметов"
"С.Тігіпко","Блок Петра Порошенка",3.2,"БПП","Сергій Тігіпко"
"Ю.Косюк","Блок Петра Порошенка",11.11,"БПП","Юрій Косюк"
"NCH Capital","Відродження",0.48,"Відродження","NCH Capital"
"А.Веревський","Відродження",-0.0599999999999996,"Відродження","Андрій Веревський"
"В.Іванчик","Відродження",1.1,"Відродження","Віктор Іванчик"
"К.Іаковідес","Відродження",-4.46,"Відродження","Крістакіс Іаковідес"
"М.Фрідман","Відродження",-1.4,"Відродження","Михайло Фрідман"
"О.Бахматюк","Відродження",-1.55,"Відродження","Олег Бахматюк"
"П.Порошенко","Відродження",-2.79,"Відродження","Петро Порошенко"
"Р.Ахметов","Відродження",-1.25,"Відродження","Рінат Ахметов"
