"","bussinessman","party","presentation"
"1","NCH Capital","Аргарна партія",1.04
"2","Андрій Веревський","Аргарна партія",7.45
"3","Крістакіс Іаковідес","Аргарна партія",-1.62
"4","Михайло Фрідман","Аргарна партія",-2.07
"5","Олег Бахматюк","Аргарна партія",2.64
"6","Петро Порошенко","Аргарна партія",6.54
"7","Сергій Тігіпко","Аргарна партія",-0.18
"8","Юрій Косюк","Аргарна партія",3.2
"9","NCH Capital","Блок Петра Порошенка",5.37
"10","Андрій Веревський","Блок Петра Порошенка",3.34
"11","Крістакіс Іаковідес","Блок Петра Порошенка",-1.26
"12","Михайло Фрідман","Блок Петра Порошенка",0.84
"13","Олег Бахматюк","Блок Петра Порошенка",6.62
"14","Петро Порошенко","Блок Петра Порошенка",7.77
"15","Сергій Тігіпко","Блок Петра Порошенка",3.2
"16","Юрій Косюк","Блок Петра Порошенка",11.11
"17","NCH Capital","Відродження",0.48
"18","Андрій Веревський","Відродження",-0.0599999999999996
"19","Крістакіс Іаковідес","Відродження",-4.46
"20","Михайло Фрідман","Відродження",-1.4
"21","Олег Бахматюк","Відродження",-1.55
"22","Петро Порошенко","Відродження",-2.79
"23","Сергій Тігіпко","Відродження",0.49
"24","Юрій Косюк","Відродження",-4.46
"25","NCH Capital","Наш край",-3.31
"26","Андрій Веревський","Наш край",-2.01
"27","Крістакіс Іаковідес","Наш край",-5.78
"28","Михайло Фрідман","Наш край",1.21
"29","Олег Бахматюк","Наш край",1.99
"30","Петро Порошенко","Наш край",-0.78
"31","Сергій Тігіпко","Наш край",-0.83
"32","Юрій Косюк","Наш край",-4.11
"33","NCH Capital","Самопоміч",-1.92
"34","Андрій Веревський","Самопоміч",-1.26
"35","Крістакіс Іаковідес","Самопоміч",0.36
"36","Михайло Фрідман","Самопоміч",2.96
"37","Олег Бахматюк","Самопоміч",3.65
"38","Петро Порошенко","Самопоміч",0.18
"39","Сергій Тігіпко","Самопоміч",0.81
"40","Юрій Косюк","Самопоміч",-3.15
"41","NCH Capital","Опозиційний блок",0.77
"42","Андрій Веревський","Опозиційний блок",-8.45
"43","Крістакіс Іаковідес","Опозиційний блок",-10.34
"44","Михайло Фрідман","Опозиційний блок",-1.61
"45","Олег Бахматюк","Опозиційний блок",-3.54
"46","Петро Порошенко","Опозиційний блок",-7.01
"47","Сергій Тігіпко","Опозиційний блок",3.52
"48","Юрій Косюк","Опозиційний блок",-5.34
"49","NCH Capital","УКРОП",-3.59
"50","Андрій Веревський","УКРОП",-1.03
"51","Крістакіс Іаковідес","УКРОП",4.47
"52","Михайло Фрідман","УКРОП",-0.38
"53","Олег Бахматюк","УКРОП",-2.18
"54","Петро Порошенко","УКРОП",-1.06
"55","Сергій Тігіпко","УКРОП",-5.07
"56","Юрій Косюк","УКРОП",0.61
"57","NCH Capital","Батьківщина",1.79
"58","Андрій Веревський","Батьківщина",-2.28
"59","Крістакіс Іаковідес","Батьківщина",2.05
"60","Михайло Фрідман","Батьківщина",0.67
"61","Олег Бахматюк","Батьківщина",4.9
"62","Петро Порошенко","Батьківщина",1.18
"63","Сергій Тігіпко","Батьківщина",3.32
"64","Юрій Косюк","Батьківщина",-8.82
"65","NCH Capital","Свобода",-2.78
"66","Андрій Веревський","Свобода",-2.73
"67","Крістакіс Іаковідес","Свобода",7.03
"68","Михайло Фрідман","Свобода",-3.07
"69","Олег Бахматюк","Свобода",-3.31
"70","Петро Порошенко","Свобода",1.42
"71","Сергій Тігіпко","Свобода",-0.3
"72","Юрій Косюк","Свобода",-3.58
"73","NCH Capital","Радикальна партія",-0.98
"74","Андрій Веревський","Радикальна партія",0.399999999999999
"75","Крістакіс Іаковідес","Радикальна партія",-1.89
"76","Михайло Фрідман","Радикальна партія",0.71
"77","Олег Бахматюк","Радикальна партія",-4.24
"78","Петро Порошенко","Радикальна партія",-2.15
"79","Сергій Тігіпко","Радикальна партія",-1.21
"80","Юрій Косюк","Радикальна партія",-5.48
