"name","value","info"
"М.Фрідман",229,"<b> Михайло Фрідман </b> – російський олігарх, головний акціонер консорціуму «Альфа-Груп». Серед його українських активів: «Київстар», Альфа-Банк Україна, УкрСоцБанк, Мінеральні води «Моршинська», «Миргородська» та «Трускавецька»"
"Р.Ахметов",218,"<b>Рінат Ахметов</b> – найбагатша людина України, власник холдингу System Capital Management. Основні активи – у металургії та паливно-енергетичному комплексі"
"А.Веревський",159,"<b> Андрій Веревський </b> – власник компанії «Кернел», що спеціалізується на соняшниковій олії, а також займається вирощуванням зернових. Був народним депутатом від БЮТ"
"О.Бахматюк",103,"<b> Олег Бахматюк </b> – власник агрохолдингу UkrLandFarming, що займається вирощуванням зернових, кукурудзи, соняшнику, а також тваринництвом. Має найбільший земельний банк серед приватних агрокомпаній, за версією сайту Latifundist. Сестра - нароний депутат від блоку Петра Порошенка. Нацбанк намагався арештувати майно Бахматюка через  те, що його  VAB Банк не повернув виданий НБУ кредит. Але Бахматюк виграв апеляційний суд"
"С.Тігіпко",101,"<b> Сергій Тігіпко </b> – власник ТАСкомбанк, Універсал Банк, страхових компаній «Індустріальна», «ТАС», Aegon Life і «Страхова група ТАС».  За часів Януковича був заступником голови Партії Регіонів."
"NCH Capital",81,"<b> NCH Capital </b> – американська інвестиційна компанія. В Україні працює через компанію «Агропросперіс», яка, за інформацією видання <a href="https://latifundist.com/kompanii/230-new-century-holding"> Латифундист </a>,  є одним з найбільших виробників та експортерів зернових. Компанія володіє другим після Бахматюка земельним банком, - про це пише видання <a href="https://delo.ua/business/ukrainskaja-dochka-amerikanskoj-nch-capital-investiruet-8-mln-v-334559/"> Дєло </a>"
"В.Іванчик",72,"<b>Віктор Іванчик</b> – власник агрохолдингу «Астарта», найбільший дохід якому приносить виробництво цукру. Важає, що краще купити новий трактор, ніж яхту"
"Ю.Косюк",60,"<b>Юрій Косюк</b> – власник «Миронівського хлібопродукту», одного з найбільших виробників курятини в Україні (торгова марка «Наша Ряба»). У 2014 році, півроку працював заступником голови адміністрації Пезидента. Любить розкіш"
"П.Порошенко",60,"<b>Петро Порошенко</b> – власник корпорації «Roshen», компанії «Агропродінвест» та інших активів. Президент України."
"Агрохолдинг «Мрія»",57,"<b>Агрохолдинг «Мрія»</b> - обробляє 180 000 гектарів землі у Львівській, Тернопільській, Хмельницькій, Чернівецькій, Івано-Франківській та Рівненській областях. В минулому належала родині Гут, але в серпні 2014 року холдинг не зміг повернути 1,3 млрд доларів боргу і перейшов під контроль кредиторів, а гендиректора Миколу Гуту оголосили у міжнародний розшук за підозрою у шахрайстві"
